X,Y,Pressure,Time
113.456770531327,70.1251564073611,0.3367521,0
113.456770531327,70.1251564073611,0.4180708,1
113.456770531327,70.1251564073611,0.4290598,1
113.456770531327,70.1251564073611,0.4383394,16
113.456770531327,70.1251564073611,0.4383394,16
113.456770531327,70.1251564073611,0.4598291,16
113.456770531327,70.1251564073611,0.4598291,17
113.456770531327,70.1251564073611,0.4739927,32
113.456770531327,70.1251564073611,0.4739927,32
113.456770531327,70.1251564073611,0.4739927,32
113.456770531327,70.1251564073611,0.4739927,33
113.30051576281,69.9542527542955,0.4722833,47
113.30051576281,69.9542527542955,0.4722833,47
113.30051576281,69.9542527542955,0.4722833,47
113.30051576281,69.9542527542955,0.4722833,48
113.30051576281,69.9542527542955,0.4749695,63
113.30051576281,69.9542527542955,0.4749695,63
113.30051576281,69.9542527542955,0.4857143,63
113.30051576281,69.9542527542955,0.4857143,64
113.30051576281,69.9542527542955,0.5052503,78
113.30051576281,69.9542527542955,0.5052503,78
113.30051576281,69.9542527542955,0.5330892,78
113.30051576281,69.9542527542955,0.5330892,79
113.30051576281,70.1251564073611,0.5643468,94
113.30051576281,70.369304483169,0.5948718,95
113.30051576281,70.6378673665578,0.6227106,110
113.30051576281,71.0529190954314,0.6442003,111
113.30051576281,71.7365337076937,0.6583639,125
113.30051576281,71.7365337076937,0.6583639,125
113.30051576281,72.908444471572,0.6681319,125
113.30051576281,72.908444471572,0.6681319,126
113.30051576281,74.6663106173895,0.6754579,141
113.30051576281,77.2054506057924,0.6830281,142
113.30051576281,81.0629902035585,0.6915751,157
113.30051576281,86.8737144077883,0.6981685,157
111.269203772088,113.314951017792,0.7286935,172
112.128604998932,103.890835291604,0.7181929,172
112.79268776513,94.8085268715476,0.7072039,172
112.79268776513,94.8085268715476,0.7072039,172
111.269203772088,113.314951017792,0.7286935,173
112.128604998932,103.890835291604,0.7181929,173
109.862910855434,130.429731131932,0.749939,188
110.448866237373,122.42167424543,0.73895,188
110.448866237373,122.42167424543,0.73895,188
109.862910855434,130.429731131932,0.749939,189
109.081637012848,146.250526444288,0.7726496,203
109.355082857753,138.34012878811,0.7611722,203
109.355082857753,138.34012878811,0.7611722,203
