X,Y,Pressure,Time
215.069246498001,83.9394573809015,0.3479854,0
215.069246498001,83.9394573809015,0.3887668,1
209.631580553606,123.781493575854,0.530403,16
211.22537919248,114.420856349376,0.5162393,16
212.7723014008,106.404986724448,0.4986569,16
213.756706442457,100.41945249794,0.4744811,16
214.366100039674,95.778685872982,0.4505495,16
214.69423505356,92.0344309823908,0.4297924,16
214.78798791467,88.8702719199194,0.4056166,16
215.069246498001,83.9394573809015,0.3084249,16
215.069246498001,83.9394573809015,0.3084249,16
215.069246498001,83.9394573809015,0.3142857,16
215.069246498001,83.9394573809015,0.362149,16
215.069246498001,83.9394573809015,0.3887668,16
215.069246498001,83.9394573809015,0.3887668,16
215.069246498001,83.9394573809015,0.3142857,17
215.069246498001,83.9394573809015,0.3084249,31
215.069246498001,83.9394573809015,0.3084249,32
215.069246498001,83.9394573809015,0.362149,32
214.78798791467,88.8702719199194,0.4056166,47
213.756706442457,100.41945249794,0.4744811,63
214.366100039674,95.778685872982,0.4505495,63
214.69423505356,92.0344309823908,0.4297924,63
212.7723014008,106.404986724448,0.4986569,78
211.22537919248,114.420856349376,0.5162393,79
209.631580553606,123.781493575854,0.530403,94
204.053285317545,155.159404278695,0.5677656,110
205.975218970305,144.691311380352,0.558486,110
207.803399761956,133.880434583575,0.5479854,110
189.099703970458,204.625757621998,0.5912088,125
190.412244026002,201.725278481399,0.5843712,125
192.146671956542,197.717343668935,0.5826618,125
194.256111331523,192.18006530961,0.5824176,125
196.7874385815,184.797027497177,0.5824176,125
199.318765831477,175.884646137883,0.5797314,125
201.850093081454,165.812073122349,0.5748474,125
201.850093081454,165.812073122349,0.5748474,125
199.318765831477,175.884646137883,0.5797314,126
196.7874385815,184.797027497177,0.5824176,141
192.146671956542,197.717343668935,0.5826618,142
194.256111331523,192.18006530961,0.5824176,142
190.412244026002,201.725278481399,0.5843712,156
189.099703970458,204.625757621998,0.5912088,157
182.72450941496,218.732633442183,0.6151404,188
183.755790887173,216.095834223457,0.609768,188
185.162083803827,213.010779137547,0.606105,188
186.568376720481,210.004828028199,0.6021978,188
187.880916776025,207.183452864162,0.5970696,188
