X,Y,Pressure,Time
420.809900204474,161.065834528642,0.07985348,0
420.809900204474,161.065834528642,0.2490842,1
420.809900204474,161.065834528642,0.2852259,16
420.809900204474,161.065834528642,0.2852259,16
420.809900204474,161.065834528642,0.2852259,16
420.809900204474,161.065834528642,0.2852259,17
420.809900204474,161.065834528642,0.2783883,32
420.809900204474,161.065834528642,0.2822955,32
420.809900204474,161.065834528642,0.2822955,32
420.809900204474,161.065834528642,0.2783883,33
420.809900204474,161.065834528642,0.2783883,47
420.809900204474,161.065834528642,0.2783883,47
420.903653065584,161.883242286447,0.3025641,47
420.903653065584,161.883242286447,0.3025641,48
420.809900204474,165.073769341105,0.3836386,63
420.903653065584,163.069801934873,0.3350427,63
420.903653065584,163.069801934873,0.3350427,63
420.809900204474,165.073769341105,0.3836386,64
420.294259468368,172.087655262917,0.4620269,79
420.622394482253,167.895144505142,0.4271062,79
420.622394482253,167.895144505142,0.4271062,79
420.294259468368,172.087655262917,0.4620269,80
419.40360728782,186.721890926847,0.5181929,94
419.919248023927,178.257765434736,0.4918193,94
419.919248023927,178.257765434736,0.4918193,94
419.40360728782,186.721890926847,0.5181929,95
418.887966551714,196.636255989257,0.5433456,110
418.512955107273,207.552604754784,0.5643468,112
418.091067232276,219.550041199988,0.5843712,125
417.57542649617,231.916629535813,0.6053724,126
416.497268593402,258.838349559008,0.6437119,141
417.106662190619,245.285201574755,0.62442,141
417.106662190619,245.285201574755,0.62442,141
416.497268593402,258.838349559008,0.6437119,142
414.669087801752,282.675014496292,0.6600733,157
415.559739982299,271.389513840144,0.6547009,157
415.559739982299,271.389513840144,0.6547009,157
414.669087801752,282.675014496292,0.6600733,158
413.731559190649,292.668483535264,0.6630037,172
412.419019135105,309.860414441359,0.6766789,173
413.028412732322,301.686336863308,0.6681319,173
411.622119815668,325.312057863094,0.7025641,188
412.044007690664,317.770812097537,0.6893773,188
412.044007690664,317.770812097537,0.6893773,188
411.622119815668,325.312057863094,0.7025641,189
411.340861232337,332.9587755974,0.7101343,204
410.825220496231,340.790069277017,0.7162393,205
410.215826899014,348.594994964446,0.7247863,219
409.512680440687,356.057136753441,0.7328449,220
407.778252510147,368.977452925199,0.7443224,235
408.71578112125,362.886446729942,0.7379732,235
408.71578112125,362.886446729942,0.7379732,235
407.778252510147,368.977452925199,0.7443224,236
406.98135319071,373.697323526719,0.7484738,250
406.371959593493,377.15153050325,0.7506716,251
405.481307412946,380.711209448531,0.75116,266
405.856318857387,379.445545823542,0.7509158,266
405.856318857387,379.445545823542,0.7509158,266
405.481307412946,380.711209448531,0.75116,267
405.15317239906,381.713193151646,0.7526252,282
404.965666676839,382.530600909452,0.754823,283
404.778160954619,383.084328745384,0.757265,297
404.778160954619,383.268904690695,0.7599512,298
404.778160954619,383.268904690695,0.7643468,313
404.778160954619,383.268904690695,0.7643468,313
404.778160954619,383.268904690695,0.7711844,313
404.778160954619,383.268904690695,0.7711844,314
404.778160954619,383.268904690695,0.7777778,329
404.778160954619,383.268904690695,0.7777778,329
404.778160954619,383.268904690695,0.7848596,329
404.778160954619,383.268904690695,0.7929182,329
404.778160954619,383.268904690695,0.7848596,330
404.778160954619,383.268904690695,0.7929182,330
404.778160954619,383.268904690695,0.8026862,344
404.778160954619,383.268904690695,0.8026862,344
404.778160954619,383.268904690695,0.8100122,344
404.778160954619,383.268904690695,0.8129426,344
404.778160954619,383.268904690695,0.814652,344
404.778160954619,383.268904690695,0.8100122,360
404.778160954619,383.268904690695,0.8129426,360
404.778160954619,383.268904690695,0.814652,360
404.778160954619,383.268904690695,0.8148962,375
404.778160954619,383.268904690695,0.8168498,376
404.778160954619,383.268904690695,0.8205128,391
404.778160954619,383.268904690695,0.8205128,391
404.778160954619,383.268904690695,0.8251526,391
404.778160954619,383.268904690695,0.8251526,392
404.778160954619,383.268904690695,0.8302808,407
404.778160954619,383.268904690695,0.8376068,408
404.778160954619,383.268904690695,0.8442003,422
404.778160954619,383.268904690695,0.8442003,422
404.778160954619,383.268904690695,0.8500611,422
404.778160954619,383.268904690695,0.8500611,423
404.778160954619,383.268904690695,0.8556777,438
404.778160954619,383.268904690695,0.8556777,438
404.778160954619,383.268904690695,0.8615385,438
404.778160954619,383.268904690695,0.8615385,439
404.778160954619,383.268904690695,0.8676435,454
404.778160954619,383.268904690695,0.8725275,455
404.778160954619,383.268904690695,0.8742369,469
404.778160954619,383.268904690695,0.8742369,469
404.778160954619,383.268904690695,0.8744811,469
404.778160954619,383.268904690695,0.8744811,470
404.778160954619,383.268904690695,0.8759463,485
404.778160954619,383.268904690695,0.8774115,486
404.778160954619,383.268904690695,0.8796093,500
404.778160954619,383.268904690695,0.8840049,501
405.15317239906,383.163432721946,0.8930403,516
405.15317239906,383.163432721946,0.8930403,516
406.184453871273,382.899752800073,0.9032967,516
406.184453871273,382.899752800073,0.9032967,517
407.778252510147,382.425128940703,0.9067155,532
407.778252510147,382.425128940703,0.9067155,532
410.215826899014,381.792297128208,0.9069597,532
413.450300607318,380.790313425092,0.9072039,532
410.215826899014,381.792297128208,0.9069597,533
413.450300607318,380.790313425092,0.9072039,533
418.091067232276,379.445545823542,0.9098901,547
423.950621051668,377.889834284494,0.9123321,548
431.122714926603,376.255018768883,0.9152625,563
438.810449537645,374.883883175146,0.9179487,579
446.1700491348,374.066475417341,0.9201465,579
452.170232245857,373.802795495468,0.9216117,579
456.389110995819,373.802795495468,0.9233211,594
456.389110995819,373.802795495468,0.9233211,594
459.529831843013,373.802795495468,0.9233211,594
459.529831843013,373.802795495468,0.9233211,595
461.873653370769,373.802795495468,0.9296703,610
464.264351329081,373.802795495468,0.9355311,611
466.420667134617,373.88189947203,0.9394383,625
468.436353648488,374.066475417341,0.9409035,626
469.748893704032,374.17194738609,0.9411477,641
469.748893704032,374.17194738609,0.9411477,641
470.545793023469,374.251051362651,0.9411477,641
470.545793023469,374.251051362651,0.9411477,642
471.061433759575,374.251051362651,0.9396825,657
471.436445204016,374.251051362651,0.9369963,658
471.858333079012,374.251051362651,0.9338217,672
472.280220954009,374.251051362651,0.9316239,673
472.74898525956,374.251051362651,0.9296703,688
473.358378856777,374.251051362651,0.9260073,689
473.967772453993,373.987371440779,0.9221001,704
474.67091891232,373.618219550157,0.9140415,705
475.280312509537,373.354539628285,0.9037851,719
475.702200384533,373.169963682974,0.8945055,720
475.983458967864,372.985387737663,0.8871795,720
476.21784112064,372.879915768914,0.8466423,735
476.21784112064,372.879915768914,0.8744811,735
476.21784112064,372.879915768914,0.8744811,735
476.21784112064,372.879915768914,0.8466423,736
476.31159398175,372.879915768914,0.8009768,750
476.31159398175,372.879915768914,0.7421246,751
477.014740440077,372.352555925169,0.6500611,766
477.717886898404,371.798828089236,0.5245422,767
478.936674092837,371.165996276742,0.3401709,767
478.8,371,0.5,782
478.936674092837,371.165996276742,0,782
645.348002563555,261.923404644917,0.4683761,1126
645.348002563555,261.923404644917,0.5079365,1141
