X,Y,Pressure,Time
204.662678914762,164.704617450484,0.0942613,0
204.662678914762,164.704617450484,0.1648352,1
204.662678914762,164.704617450484,0.1973138,16
204.662678914762,164.704617450484,0.1973138,16
204.662678914762,164.704617450484,0.2229548,16
204.662678914762,164.704617450484,0.2229548,17
204.662678914762,164.704617450484,0.247619,31
204.662678914762,164.704617450484,0.247619,31
204.662678914762,164.704617450484,0.2583639,31
204.662678914762,164.704617450484,0.2583639,32
204.287667470321,164.625513473922,0.2737485,47
204.662678914762,164.704617450484,0.2671551,47
204.662678914762,164.704617450484,0.2671551,47
204.287667470321,164.625513473922,0.2737485,48
204.287667470321,164.625513473922,0.2837607,63
204.287667470321,164.625513473922,0.2837607,63
204.287667470321,164.625513473922,0.3010989,63
204.287667470321,164.625513473922,0.3010989,64
204.287667470321,164.625513473922,0.3247863,78
204.287667470321,164.625513473922,0.3247863,78
204.287667470321,164.625513473922,0.3531136,78
204.287667470321,164.625513473922,0.3531136,79
204.287667470321,165.152873317667,0.3775336,94
204.287667470321,165.152873317667,0.3775336,94
204.287667470321,166.339432966094,0.4100122,94
204.287667470321,166.339432966094,0.4100122,95
204.287667470321,167.895144505142,0.4417582,109
204.287667470321,167.895144505142,0.4417582,109
204.287667470321,169.793639942625,0.4620269,109
204.287667470321,169.793639942625,0.4620269,110
204.475173192541,171.903079317606,0.4722833,125
204.475173192541,171.903079317606,0.4722833,125
204.662678914762,174.170726645711,0.4805861,125
204.662678914762,174.170726645711,0.4805861,126
204.662678914762,176.543845942564,0.4852259,141
204.756431775872,179.075173192541,0.4881563,143
204.756431775872,181.896548356578,0.4940171,156
204.756431775872,181.896548356578,0.4940171,156
204.990813928648,184.981603442488,0.4998779,156
204.990813928648,184.981603442488,0.4998779,157
205.272072511979,188.541282387768,0.5059829,172
205.272072511979,188.541282387768,0.5059829,172
205.881466109195,193.076577043977,0.5120879,172
206.678365428632,198.719327372051,0.5233212,172
205.881466109195,193.076577043977,0.5120879,173
206.678365428632,198.719327372051,0.5233212,173
207.709646900845,205.364061403241,0.5326008,188
208.506546220283,212.008795434431,0.5406594,189
209.115939817499,218.17890560625,0.5460318,203
209.30344553972,223.742551957762,0.5501832,204
209.444074831385,228.646998504593,0.553602,219
209.537827692496,233.736020996735,0.5557998,220
209.912839136937,239.009619434187,0.5575092,234
210.428479873043,244.652369762261,0.5611722,235
211.13162633137,250.558800012207,0.5697192,250
211.834772789697,256.570702230903,0.5838828,251
212.350413525803,262.66170842616,0.5958486,266
212.7723014008,268.383562730796,0.6034188,267
213.05355998413,273.841737113559,0.608547,281
213.147312845241,278.930759605701,0.6151404,282
213.147312845241,283.75610217597,0.6180708,297
213.147312845241,288.766020691549,0.6224664,298
212.95980712302,299.207745597705,0.6285715,313
213.147312845241,293.934147160253,0.6258852,313
213.147312845241,293.934147160253,0.6258852,313
212.95980712302,299.207745597705,0.6285715,314
212.537919248024,303.848512222663,0.6324787,328
212.350413525803,307.671871089816,0.6368743,329
212.256660664693,310.598718222602,0.6407815,344
212.256660664693,310.598718222602,0.6407815,344
212.256660664693,313.31462141789,0.6451771,344
212.256660664693,313.31462141789,0.6451771,345
212.256660664693,316.3996765038,0.6537241,359
212.256660664693,319.95935544908,0.6659341,360
212.256660664693,323.861818292795,0.6791209,360
212.256660664693,327.606073183386,0.6871795,375
212.256660664693,331.139384136479,0.6940171,391
212.256660664693,334.59359111301,0.6984127,391
212.256660664693,337.96869411298,0.7020757,391
212.256660664693,341.317429120762,0.7064713,406
212.256660664693,344.79800408948,0.7111111,407
212.069154942473,352.049201940977,0.7191697,422
212.256660664693,348.410419019135,0.7167277,422
212.256660664693,348.410419019135,0.7167277,422
212.069154942473,352.049201940977,0.7191697,423
211.834772789697,355.529776909696,0.7221001,438
211.647267067476,358.693935972167,0.7242979,439
211.459761345256,361.330735190893,0.7257631,453
211.31913205359,363.255598620563,0.7260073,454
211.22537919248,364.44215826899,0.7279609,469
211.22537919248,365.074990081484,0.7304029,470
